,name,aroma,colour,country_of_origin,family,flavour,ingredients,producers,region,rind,texture,type,vegetarian,synonyms,fat_content,alternative_spellings,calcium_content,fat_content_(in_dry_matter)
835,isle-of-man-mild-cheddar,,yellow,great britain and isle of man,cheddar,"creamy, subtle",pasteurized cow's milk,isle of man creameries,isle of man,natural,creamy and firm,"hard, artisan",no,,33%,,,
836,isle-of-man-mild-coloured-cheddar,,golden yellow,great britain and isle of man,cheddar,"creamy, subtle",pasteurized cow's milk,isle of man creameries,isle of man,natural,creamy and firm,"hard, artisan",no,,33%,,,
837,isle-of-mull,"pungent, yeasty",ivory,scotland and united kingdom,cheddar,"fruity, sharp, strong, tangy",unpasteurized cow's milk,isle of mull cheese,inner hebrides,cloth wrapped,chewy and creamy,"hard, artisan",no,,,"isle of mull cheddar, isle of mull (reade's) cheddar",,
838,istara-chistou,"pleasant, rich",pale yellow,france,,"full-flavored, smooth, tangy",cow's and sheep's milk,"lactalis deli, inc., president cheese",,natural,smooth,"semi-hard, artisan",,,,,,
839,istara-kaikou,"grassy, herbal",,france,,"piquant, salty, strong",pasteurized sheep's milk,"lactalis deli, inc.",basque,natural,crumbly and firm,"hard, artisan",,,,,,
840,jalapeno-cheddar,spicy,pale yellow,united states,cheddar,"savory, spicy",pasteurized cow's milk,rogue creamery,oregon,natural,creamy and crumbly,"semi-hard, artisan",yes,,,,,
841,jarlsberg,nutty,pale yellow,norway,swiss cheese,"buttery, mild, nutty",pasteurized cow's milk,norseland ltd.,jarlsberg,waxed,"open, smooth and supple",semi-soft,no,,,,,
842,jermi-tortes,,,germany,,,,,,,,,no,,,,,
843,jibneh-arabieh,,white,israel and middle east,,mild,cow's milk,"m & j sales, outagamie county, united states",,natural,firm and open,semi-hard,no,,,,,
844,jindi-brie,,golden yellow,,brie,,,,jindivick,bloomy,,,no,,,,,
845,jubilee-blue,mushroom,ivory,new zealand,blue,"buttery, spicy",cow's milk,,,mold ripened,creamy and smooth,"soft, blue-veined",no,,,,,
846,julianna,"herbal, mushroom",white,united states,brie,"buttery, nutty, smooth, tangy",pasteurized goat's milk,capriole goat cheese,indiana,natural,"buttery, firm and smooth","soft, soft-ripened",no,,,,,
847,juustoleipa,"fresh, pleasant, sweet",white,finland,,"salty, sweet","pasteurized cow's, goat's or reindeer's milk",wisconsin cheese,,washed,chewy and firm,"semi-hard, artisan",no,"leipäjuusto, finnish squeaky cheese, reindeer cheese, juusto",12%,,,
848,kadchgall,,pale yellow,afghanistan and pakistan,,,camel's or sheep's milk,,,,springy,"hard, artisan",no,,,,,
849,kaltbach-emmentaler-aop,nutty,,switzerland,swiss cheese,"nutty, tangy",pasteurized cow's milk,emmi käse ag,lucerne,,"crumbly, crystalline and open","semi-hard, processed",,,45%,,1030 mg/100g,
850,kaltbach-le-gruyere-aop,"fruity, rich, spicy, strong",yellow,switzerland,swiss cheese,"fruity, strong, tangy",unpasteurized cow's milk,emmi käse ag,lucerne,,crumbly,hard,,,49%,,,
851,kanafeh,,,"azerbaijan, egypt, greece, iran, israel, jordan, lebanon, palestine, syria and turkey",,,,,levant,,,,no,"riştə xətayi, kadaif",,"kunafah, knafeh, kunafeh, knafeh, kenafa, kunefe",,
852,kanterkaas,"aromatic, pleasant",yellow,holland and netherlands,,"spicy, strong, tangy",pasteurized cow's milk,,"friesland, westerkwartier",natural,firm and open,"hard, artisan",,"friese nagelkaas, nagelkaas, kanter cheese, frisian clove cheese, friese kaas, kanterkomijnekaas , kanternagelkaas",20-44%,,,
853,kapiti-kikorangi,strong,straw,new zealand,blue,"buttery, full-flavored, savory",cow's milk,fonterra foodservices,manurewa,bloomy,creamy and smooth,"semi-soft, blue-veined",no,kikorangi,,,,
854,kase-mit-schweizer-truffeln,"earthy, mild",cream,switzerland,swiss cheese,creamy,unpasteurized cow's milk,affineur walo of mühlenen,bern,natural,creamy,"semi-soft, artisan",,swiss cheese with truffles,,,,
855,kashar,"buttery, spicy",ivory,united states,pasta filata,"buttery, tangy",unpasteurized cow's milk,parish hill creamery,vermont,mold ripened,dry and firm,"hard, artisan",no,,,,,
856,kashkaval,smokey,yellow,"bulgaria, lebanon, macedonia, romania, serbia, syria and turkey",pasta filata,"nutty, salty",unpasteurized cow's and sheep's milk,,eastern europe,waxed,creamy,semi-hard,no,"kasseri, cascaval, kashkawan, ksara",32%,"kashkaval vitosha, kashkaval balkan, kashkaval preslav, kaval",,
857,kashta,"fresh, rich",white,middle east,,"full-flavored, sweet",pasteurized or unpasteurized cow's milk,,,natural,creamy,"fresh soft, whey",no,,,,,
858,kasseri,pungent,pale yellow,greece,pasta filata,"salty, sweet",unpasteurized goat's and sheep's milk,christakis greek cheeses,,rindless,"chewy, firm and springy",semi-hard,no,,25-45%,"kaser, kasar",,
859,keens-cheddar,"nutty, rich",pale yellow,england,cheddar,"earthy, nutty, sharp, smooth, tangy",unpasteurized cow's milk,keens cheddar,south west england,natural,"creamy, firm and smooth","hard, artisan",no,,,,,
860,kefalotyri,"rich, strong",pale yellow,"cyprus, greece and turkey",,"salty, sharp, spicy, strong, tangy",pasteurized goat's or sheep's milk,christakis greek cheeses,,natural,firm and flaky,hard,no,,40%,kefalotiri,,
861,kefir-blue,,pale yellow,united states,blue,"creamy, nutty, sharp, tangy",unpasteurized cow's milk,finger lakes dexter creamery llc,ny,waxed,crumbly,"semi-soft, blue-veined",,,,,,
862,kefir-italian-pasta-cheese,pleasant,pale yellow,united states,,"pungent, tangy",unpasteurized cow's milk,finger lakes dexter creamery llc,ny,natural,crumbly and firm,"hard, artisan",yes,,,,,
863,kefir-peppercorn-cheese,pleasant,white,united states,,"spicy, tangy",unpasteurized cow's milk,finger lakes dexter creamery llc,ny,rindless,"creamy, dense and firm","semi-hard, artisan",,,,,,
864,kefir-salad,pleasant,pale yellow,united states,,"pungent, tangy",cow's milk,finger lakes dexter creamery llc,ny,rindless,creamy and firm,"semi firm, artisan",,,,,,
865,kefir-tomato-garlic,garlicky,cream,united states,,"garlicky, pungent, sweet, tangy",unpasteurized cow's milk,finger lakes dexter creamery llc,ny,rindless,"creamy, dense and firm","semi-hard, artisan",,,,,,
866,kefir-wine-companion,pleasant,pale yellow,united states,,"pungent, strong, tangy",cow's milk,finger lakes dexter creamery llc,ny,waxed,crumbly and firm,"semi-hard, artisan",,,,,,
867,keltic-gold,fruity,straw,england,,"creamy, fruity",pasteurized cow's milk,whalesborough farm foods,north cornwall,washed,creamy and smooth,"semi-hard, artisan",,,,,,
868,kenne,"earthy, mild",,united states,,"earthy, mild",pasteurized goat's milk,tomales farmstead creamery,"tomales, california",natural,soft-ripened,"soft, artisan",,,,,,
869,kennebec-highlands-caerphilly,"grassy, milky",pale yellow,united states,,"nutty, salty, tangy",pasteurized goat's milk,kennebec cheesery,maine,waxed,creamy and smooth,"semi-hard, artisan",no,,,,,
870,kernhem,aromatic,yellow,holland and netherlands,gouda,"mild, nutty, sweet",pasteurized cow's milk,,kernhem,washed,"firm, open and smooth",soft,no,,60%,,,
871,kervella-affine,,white,australia,,"mild, nutty, salty, sweet",unpasteurized goat's milk,,gidgegannup,natural,"creamy, firm and flaky","soft, hard, artisan",no,,,,,
872,king-island-cape-wickham-brie,,white,australia,brie,,cow's milk,king island dairy,,,,soft,no,,,,,
873,king-river-gold,,,australia,,"fruity, mild, smokey",pasteurized or unpasteurized cow's milk,milawa cheese company,"milawa, victoria",washed,creamy and smooth,"semi-soft, artisan",no,,,,,
874,kinsman-ridge,"buttery, floral, rich",pale yellow,united states,tomme,"creamy, savory",unpasteurized cow's milk,"jasper hill farm, landaff creamery, llc",vermont,natural,"creamy, firm and smooth","semi-soft, artisan",no,,,,,
875,kiri,fresh,white,"france, japan and middle east",,"creamy, mild, sweet",cow's milk,bel group,,rindless,creamy,"soft, processed",,,,,,
876,kirkhams-lancashire,,yellow,"england, great britain and united kingdom",,"creamy, lemony, savory, tangy",unpasteurized cow's milk,"mrs kirkhams, neal's yard dairy","goosnargh, lancashire",natural,"buttery, creamy, crumbly, fluffy and spreadable","semi-soft, artisan",no,,,,,
877,klosterkaese,fruity,pale yellow,germany,gouda,sweet,unpasteurized cow's milk,imokilly cheese company,,natural,,"hard, artisan",no,,30%,kloster kaese,,
878,knockdrinna-gold,"goaty, pleasant",white,ireland,tomme,"mild, nutty, spicy",pasteurized goat's milk,knockdrinna farmhouse cheese,stoneyford,natural,"creamy, crumbly, open and semi firm","semi-hard, artisan",yes,,,,,
879,knockdrinna-meadow,,white,ireland,tomme,"caramel, creamy, earthy, meaty, mild, nutty, sweet",pasteurized sheep's milk,knockdrinna farmhouse cheese,stoneyford,natural,open and semi firm,"semi-hard, artisan",yes,,,,,
880,kolan-extra-mature,buttery,yellow,croatia,,"full-flavored, nutty",pasteurized cow's milk,sirana gligora d.o.o,dalmatian hinterland,natural,brittle and dense,hard,yes,,,,,
881,konig-ludwig-beercheese,aromatic,yellow,austria,,"full-flavored, smooth",unpasteurized cow's milk,sulzberger käserebellen sennerei gmbh,sulzberg,natural,creamy,"semi-hard, artisan",,könig ludwig bierkäse,50%,,,
882,konig-ludwig-kings,aromatic,golden yellow,austria,,mild,unpasteurized cow's milk,sulzberger käserebellen sennerei gmbh,sulzberg,natural,creamy and smooth,"semi-hard, artisan",,könig ludwig königskäse,50%,,,
883,kris-lloyd-artisan-blend,"aromatic, herbal, mild, milky",white,australia,feta,"herbaceous, mild, milky, spicy",cow's or goat's milk,woodside cheese wrights,woodside,rindless,"creamy, crumbly, firm and springy","fresh soft, artisan",yes,"persian style feta, kris lloyd - artisan - cow, kris lloyd - artisan - goat",,,,
884,kugelkase,,,austria,,spicy,cow's milk,,danube,,creamy,soft,no,,40%,,,
885,kummin,spicy,yellow,sweden,,"acidic, full-flavored, sharp, spicy",pasteurized cow's milk,oviken cheese,oviken,natural,,"hard, artisan",,,17%,,,
886,la-bonaparte,"fresh, mild",cream,canada,brie,"creamy, mild, milky",pasteurized cow's milk,la maison alexis de portneuf inc.,quebec,bloomy,"creamy, soft, soft-ripened and supple","soft, soft-ripened",,,28%,,,
887,la-casatella,lactic,white,italy,,"subtle, sweet",pasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,compact and soft,"fresh soft, artisan",no,,,,,
888,la-couronne-fort-aged-comte,rich,pale yellow,france and switzerland,,"caramel, nutty, sweet",unpasteurized cow's milk,cheese slices,franche comté,,dense,semi-hard,,,,,,
889,la-fleurie,"earthy, mild",ivory,united states,,"buttery, earthy, mushroomy, nutty",pasteurized cow's milk,willow hill farm,vermont,mold ripened,"buttery, runny and smooth","soft, artisan, soft-ripened",yes,,,,,
890,la-peral,"buttery, rich",pale yellow,spain,blue,"buttery, caramel, mushroomy, smooth, spicy, sweet",pasteurized cow's and sheep's milk,quesería la peral,asturias,natural,"creamy, firm and grainy","semi-soft, blue-veined",no,la peral blue,,,,
891,la-pyramide,mild,ivory,canada,,"salty, tangy",pasteurized goat's milk,the farm house natural cheeses,british columbia,ash coated,dense,"semi-soft, artisan",no,,,,,
892,la-rumeur,"mild, milky",cream,canada,brie,"creamy, mild",pasteurized cow's milk,la maison alexis de portneuf inc.,quebec,bloomy,"buttery, creamy, runny and supple","soft, soft-ripened",,,,,,
893,la-sauvagine,mushroom,ivory,canada,,"buttery, creamy",pasteurized cow's milk,la maison alexis de portneuf inc.,quebec,washed,"buttery, creamy, runny and supple",soft,yes,,32%,,,
894,la-sauvagine-reserve,mushroom,ivory,canada,,"buttery, creamy, mild, milky",pasteurized cow's milk,la maison alexis de portneuf inc.,quebec,washed,"buttery, creamy, runny and supple",soft,yes,,38%,,,
895,la-serena,"pleasant, strong",straw,spain,,"bitter, full-flavored, sharp, strong",unpasteurized sheep's milk,,extremadura,washed,creamy and spreadable,soft,yes,,50%,"torta la serena, queso de la serena, torta de la serena",,
896,la-taupiniere,"aromatic, nutty",white,france,,"sour, tangy",unpasteurized goat's milk,fromagerie jousseaume,poitou-charentes,natural,creamy and smooth,"soft, artisan",no,taupinette,45%,taupiniere,,
897,la-tur,"earthy, lactic, yeasty",straw,italy,brie,"acidic, buttery, creamy, grassy, mushroomy","pasteurized cow's, goat's and sheep's milk",caseificio dell'alta langa,alba,mold ripened,"creamy, fluffy and soft-ripened","soft, artisan, soft-ripened",no,,,,,
898,la-vache-qui-rit,fresh,pale yellow,france,swiss cheese,"buttery, mild, spicy, tangy",pasteurized cow's milk,the laughing cow,,rindless,"creamy, smooth and spreadable","semi-soft, processed",,the laughing cow,,,,
899,labneh,"fresh, mild",white,middle east and united states,,"creamy, milky, salty",pasteurized cow's milk,karoun dairies inc.,,rindless,creamy,"soft, whey",no,"labaneh, lebnah",5%,labne,,
900,lacey-grey,"clean, herbal",white,canada,,"acidic, bitter, nutty",pasteurized goat's milk,fifth town artisan cheese,"prince edward county, ontario",bloomy,creamy and soft,"soft, artisan, soft-ripened",,,,,,
901,laclare-farms-chandoka,fruity,ivory,united states,cheddar,"fruity, tangy",pasteurized cow's and goat's milk,laclare farms,,,creamy,"semi firm, artisan",yes,,,,,
902,laclare-farms-cheddar,"fruity, sweet",ivory,united states,cheddar,"mild, sweet, tangy",pasteurized goat's milk,laclare farms,wisconsin,,creamy,"semi-soft, artisan",yes,,,,,
903,laclare-farms-chevre,fresh,white,united states,cottage,"mild, sweet",pasteurized goat's milk,laclare farms,wisconsin,rindless,creamy,fresh soft,yes,,,,,
904,laclare-farms-evalon,goaty,ivory,united states,gouda,mild,pasteurized goat's milk,laclare farms,wisconsin,natural,creamy,"semi-hard, artisan",yes,,,,,
905,laclare-farms-evalon-cummin,goaty,ivory,united states,gouda,savory,pasteurized goat's milk,laclare farms,wisconsin,natural,creamy,"semi-hard, artisan",yes,cummin evalon,,,,
906,laclare-farms-evalon-fenugreek,goaty,pale yellow,united states,gouda,mild,pasteurized goat's milk,laclare farms,wisconsin,natural,creamy,"semi-hard, artisan",yes,fenugreek evalon,,,,
907,laclare-farms-fondry-jack,fresh,ivory,united states,monterey jack,mild,pasteurized goat's milk,laclare farms,wisconsin,natural,creamy,"fresh soft, artisan",,,,"pepper jack fondy jack, tomato basil fondy jack",,
908,laclare-farms-martone,"buttery, fresh",white,united states,cottage,"sweet, tangy",pasteurized goat's milk,laclare farms,wisconsin,ash coated,creamy,semi-soft,yes,,,,,
909,laclare-farms-raw-goats-milk-cheddar,"fruity, sweet",ivory,united states,cheddar,"mild, sweet, tangy",unpasteurized goat's milk,laclare farms,wisconsin,,creamy,"semi-soft, artisan",yes,,,,,
910,laclare-ziege-zacke-blue,"earthy, rich",cream,united states,blue,"creamy, spicy, sweet, tangy",pasteurized cow's and goat's milk,laclare farms,wisconsin,natural,creamy and firm,"semi-hard, blue-veined",no,ziege zacke blue,,,,
911,lacy-swiss,mild,ivory,united states,swiss cheese,"mild, nutty",pasteurized cow's milk,"finlandia, land o'lakes, inc. - alpine lace",,,"creamy, open and supple","semi firm, processed",,,,lacey swiss,,
912,lady-jane,"earthy, mushroom",pale yellow,canada,brie,tangy,pasteurized cow's milk,the farm house natural cheeses,british columbia,mold ripened,"creamy, dense and soft-ripened","semi-soft, artisan, soft-ripened",no,,,,,
913,laguiole,aromatic,straw,france,,"sharp, sour, tangy",unpasteurized cow's milk,,"aveyron, laguiole",natural,"creamy, firm and supple","semi-hard, artisan",no,,,tome de laguiole,,
914,lairobell,goaty,pale yellow,scotland and united kingdom,,"herbaceous, sweet",unpasteurized goat's milk,,orkney isles,natural,crumbly and open,"hard, artisan",yes,,,,,
915,lajta,"aromatic, stinky, strong",yellow,hungary,,piquant,pasteurized cow's milk,,,washed,creamy and open,soft,no,,50%,,,
916,lake-district-extra-mature-cheddar,rich,pale yellow,united kingdom,cheddar,sweet,cow's milk,the lake district cheese company,cumbrian,,creamy,"semi-soft, artisan",yes,,,,,
917,lake-district-mature-cheddar,fresh,pale yellow,united kingdom,cheddar,"savory, sweet",pasteurized or unpasteurized cow's milk,the lake district cheese company,cumbrian,,crumbly and dense,"soft, artisan",yes,,,,,
918,lamb-chopper,"mild, sweet",ivory,netherlands and united states,gouda,"buttery, caramel, creamy, nutty, sweet",pasteurized sheep's milk,cypress grove chevre,california,waxed,"dense, firm and smooth",hard,yes,,,,,
919,lamuse-brabander-goat-gouda,"buttery, nutty",brownish yellow,netherlands,gouda,"caramel, salty",pasteurized cow's milk,,northern holland,waxed,smooth,hard,,,,,,
920,lamuse-signature-gouda,nutty,orange,netherlands,,"burnt caramel, caramel, full-flavored, salty",pasteurized cow's milk,l'amuse,,waxed,"crumbly, crystalline and smooth","hard, artisan",,,,,,
921,lanark-blue,strong,yellow,scotland,swiss cheese,salty,unpasteurized sheep's milk,,,natural,creamy,"semi-soft, artisan, blue-veined",no,,,,,
922,landaff,aromatic,straw,united states,,"mild, tangy",unpasteurized cow's milk,"jasper hill farm, landaff creamery, llc",new hampshire,natural,"creamy, firm and open","semi-hard, artisan",,,,,,
923,langres,strong,orange,france,,"mild, salty",pasteurized cow's milk,rians,champagne-ardenne,washed,crumbly and firm,semi-soft,no,tesco finest langres 180g,,,,
924,lappi,,yellow,finland,swiss cheese,"mild, sweet",pasteurized cow's milk,,lapland,rindless,"creamy, firm, open and smooth",semi-soft,no,,,,,
925,largo,"pleasant, sweet",pale yellow,united states,,"mushroomy, nutty, sweet",pasteurized cow's milk,andante dairy,california,bloomy,creamy and smooth,"soft, artisan",,,,,,
926,laruns,mild,straw,france,,"acidic, mild, nutty, salty, sweet",unpasteurized sheep's milk,,laruns,natural,"brittle, firm and supple","soft, artisan",no,,,,,
927,latteria-navel,aromatic,straw,italy,,full-flavored,pasteurized cow's milk,,friuli-venezia giulia and the veneto,natural,brittle,"hard, soft-ripened",,,,,,
928,latteria-san-biagio,subtle,white,italy,,"acidic, sweet",pasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,creamy,"soft, artisan",no,,,,,
929,laura-chenel-taupiniere,"aromatic, fresh",white,united states,,"creamy, tart",goat's milk,laura chenel's chevre,"carneros, sonoma, california",ash coated,creamy and soft,"soft, artisan",,,,,,
930,laura-chenel-tome,"rich, sweet",ivory,united states,cheddar,"caramel, savory",pasteurized goat's milk,laura chenel's chevre,"sonoma, california",cloth wrapped,"crumbly, dense and firm","firm, artisan",yes,,,,,
931,laura-chenels-cabecou,"mild, nutty, rich",cream,united states,,"creamy, mild, nutty",pasteurized goat's milk,laura chenel's chevre,california,rindless,"creamy, dense and smooth",fresh firm,,,,,,
932,laveyronnais,grassy,white,france,,,cow's milk,,massif des causses,leaf wrapped,,soft,no,,,,,
933,lavistown,,yellow,ireland,,"creamy, mild, milky, tangy, vegetal",pasteurized cow's milk,knockdrinna farmhouse cheese,stoneyford,natural,"crumbly, dry and firm","semi-hard, artisan",yes,,,,,
934,le-brebiou,musty,white,france,brie,"mild, milky, sweet",pasteurized sheep's milk,bongrain,pyrénées-atlantiques,bloomy,"creamy, firm and smooth","semi-soft, artisan, soft-ripened",no,brebiou sheep cheese,26%,brebiou ligne et plaisir,,
935,le-brin,"aromatic, nutty, yeasty",white,france,,"buttery, sweet",pasteurized cow's milk,fromagerie guilloteau,rhone-alps,washed,creamy and spreadable,"semi-soft, artisan",yes,,40%,,,
936,le-cendrillon,goaty,ivory,canada,,"acidic, pronounced, sour",pasteurized goat's milk,la maison alexis de portneuf inc.,quebec,ash coated,creamy and smooth,soft,,,25%,,,
937,le-chevrot,"goaty, strong",cream,france,,"herbaceous, nutty, strong",unpasteurized goat's milk,sevre & belle,loire valley,mold ripened,"creamy, dense and firm",soft,no,,50%,,,
938,le-conquerant-camembert,rich,white,france,camembert,"fruity, yeasty",pasteurized cow's milk,,"pays d’auge, normandy",waxed,soft-ripened,"soft, artisan",no,,,,,
939,le-conquerant-demi-pont-leveque,pungent,,australia and france,,"creamy, mild",cow's milk,"fromagerie graindorge, will studd enterprizes pty ltd",,washed,"chalky, creamy and soft","soft, artisan",,,,,,
940,le-double-joie,mushroom,cream,canada,brie,"buttery, creamy",pasteurized cow's and goat's milk,la maison alexis de portneuf inc.,quebec,bloomy,"buttery, creamy and runny","soft, soft-ripened",,,27%,,,
941,le-duc-vacherin,"rich, woody",ivory,france,,"buttery, creamy, lemony, mild",pasteurized cow's milk,fromagerie jean perrin,franche comté,washed,smooth and soft,"soft, soft-ripened",,,,,,
942,le-fium-orbo,,,france,,,goat's or sheep's milk,,,natural,soft-ripened,soft,no,,50%,,,
943,le-lacandou,grassy,pale yellow,france,,fruity,unpasteurized sheep's milk,,aveyron,natural,creamy,"soft, artisan",no,,45%,,,
944,le-marquis-chevre,mild,ivory,france,cheddar,"lemony, tangy",goat's milk,cheese slices,rhone valley,natural,soft,"soft, artisan",,,,,,
945,le-moutier,,white,canada,,sweet,pasteurized goat's milk,fromagerie de l'abbaye saint-benoît,québec,natural,firm,fresh firm,,,,,,
946,le-reflet-de-portneuf,,cream,canada,,"buttery, creamy, mushroomy",,la maison alexis de portneuf inc.,quebec,washed,buttery and creamy,soft,,,30%,,,
947,le-roule,rich,white,france,,"spicy, sweet, tangy",pasteurized cow's milk,laiteries hubert triballat sa,rians,natural,"creamy, smooth and spreadable","fresh soft, artisan",no,,,,,
948,le-st-raymond,,ivory,canada,,"fruity, nutty, woody",,la maison alexis de portneuf inc.,quebec,washed,smooth and supple,soft,,,20%,le saint-raymond,,
949,le-wavreumont,"buttery, fresh, grassy",pale yellow,belgium,,"buttery, creamy, nutty, smooth, strong",unpasteurized cow's milk,fromagerie des ardennes sprl,wallonia,washed,"buttery, creamy, semi firm, smooth and soft","semi-soft, artisan",,,,,,
950,leafield,fruity,pale yellow,great britain,brie,fruity,sheep's milk,,oxfordshire,natural,chewy,"hard, artisan",yes,,48%,,,
951,lebbene,mild,white,israel,,mild,pasteurized goat's or sheep's milk,,,natural,,soft,,gibne,45%,"lebney, labaneh",,
952,lecir-de-laubrac,pleasant,white,france,,sweet,unpasteurized cow's milk,,auvergne,natural,smooth,"soft, artisan",no,,,,,
953,leerdammer,,white,holland and netherlands,gouda,"mild, nutty, sweet",pasteurized cow's milk,bel uk,"schoonrewoerd, leerdam",natural,"creamy, open, smooth and springy",semi-hard,no,,,,,
954,legacy,aromatic,pale yellow,united states,gouda,creamy,pasteurized cow's milk,heartland creamery,missouri,rindless,creamy,"semi-hard, artisan",yes,,,,,
955,legato,strong,pale yellow,united states,camembert,full-flavored,pasteurized cow's milk,andante dairy,california,mold ripened,creamy and soft-ripened,"soft, soft-ripened",yes,,,,,
956,lemon-fetish,"clean, lactic",white,canada,feta,"citrusy, lemony, salty, tangy",pasteurized sheep's milk,fifth town artisan cheese,"prince edward county, ontario",natural,crumbly and dry,"fresh firm, artisan",,,,,,
957,lemon-myrtle-chevre,"fresh, herbal",white,australia,,"acidic, herbaceous",pasteurized goat's milk,woodside cheese wrights,south australia,rindless,"creamy, firm and smooth","fresh firm, artisan",yes,,45%,,,
958,lempereur,"fruity, milky, nutty",cream,canada,,"buttery, salty",,fromagerie fritz kaiser,quebec,washed,creamy and supple,"soft, artisan",,"l’empereur léger, empereur allégé",15%,,,
959,leonora,"lactic, pleasant",white,spain,,"creamy, milky, tangy",pasteurized goat's milk,,leon,bloomy,dense and smooth,"semi-soft, artisan",no,,,,,
960,les-calendos,,cream,canada,camembert,"creamy, full-flavored",pasteurized cow's milk,la maison alexis de portneuf inc.,quebec,bloomy,"creamy, smooth and supple","soft, soft-ripened",,,,,,
961,letoile-de-st-raymond,mushroom,ivory,canada,,"buttery, grassy, milky",,la maison alexis de portneuf inc.,quebec,ash coated,buttery and creamy,soft,,,35%,l’étoile de saint-raymond,,
962,leyden,aromatic,yellow,holland and netherlands,gouda,"buttery, spicy, tangy",pasteurized cow's milk,,leiden,waxed,firm,"hard, artisan",no,"leidse kaas, cumin cheese, boeren-leidse, boeren-leidse kaas, farmers leiden",30-40%,,,
963,liburnski-sir,"buttery, clean, goaty, mild",golden yellow,croatia,,"creamy, earthy, nutty, tart","pasteurized cow's, goat's and sheep's milk",sirana gligora d.o.o,old liburnia (dalmatia),natural,creamy and open,"hard, artisan",yes,,,,,
964,lil-moo,"fresh, grassy",pale yellow,united states,,"creamy, smooth, sweet",pasteurized cow's milk,sweet grass dairy,georgia,rindless,"creamy, dense and spreadable",soft,,,,,,
965,liliputas,"fresh, lactic",yellow,lithuania,,milky,pasteurized cow's milk,,belvederis,waxed,elastic and firm,semi-hard,,,50%,,,
966,limburger,stinky,straw,"belgium, germany and netherlands",,"grassy, mild, mushroomy",pasteurized cow's milk,,duchy of limburg,washed,"creamy, crumbly, firm and smooth","semi-soft, smear-ripened",no,,27 g/100g,limburger kase,497 mg/100g,42%
967,lincoln-log,"goaty, milky",white,united states,,"citrusy, lemony, mild, mushroomy, tangy",pasteurized goat's milk,zingerman's creamery,"ann arbor, mi",mold ripened,creamy and dense,"semi-soft, soft-ripened",no,,,,,
968,lincolnshire-poacher,grassy,yellow,england and united kingdom,cheddar,"fruity, nutty, savory, sweet",unpasteurized cow's milk,,lincolnshire,natural,open and smooth,hard,no,,45%,,,
969,lindale,rich,pale yellow,united states,gouda,"buttery, sweet",pasteurized cow's milk,goat lady dairy,north carolina,natural,creamy and smooth,"semi-soft, artisan",no,,,,,
970,lindy-hop,"rich, strong",straw,united states,blue,"creamy, grassy, mild",pasteurized cow's milk,dancing cow farm,vermont,natural,creamy,"semi-soft, blue-veined",no,,,,,
971,lingot-des-causses,"goaty, herbal",white,france,,"salty, tangy",unpasteurized goat's milk,mons cheesemongers,"lachapelle auzac, midi-pyrenees",natural,creamy and firm,"soft, artisan",no,,,,,
972,lingot-saint-bousquet-dorb,herbal,white,france,brie,sweet,unpasteurized goat's milk,,herault,natural,smooth,"soft, artisan",no,,,,,
973,liptauer,"garlicky, spicy",brown,united states,,"garlicky, savory, spicy, sweet",pasteurized cow's milk,zingerman's creamery,"ann arbor, michigan",rindless,,"fresh soft, artisan",yes,,,,,
974,little-black-bomber,rich,cream,"great britain, united kingdom and wales",cheddar,"full-flavored, strong",pasteurized cow's milk,snowdonia cheese company limited,rhyl,waxed,creamy and smooth,hard,yes,,,,,
975,little-bloom-prairie,"fresh, lactic",white,united states,camembert,"citrusy, creamy, mushroomy, tangy",pasteurized goat's milk,prairie fruits farm,illinois,mold ripened,"creamy, dense, smooth and soft-ripened","soft, soft-ripened",no,,,,,
976,little-colonel,pungent,pale yellow,"england, great britain and united kingdom",,spicy,pasteurized cow's milk,james’s cheese,dorset,washed,smooth and supple,"semi-soft, artisan",yes,,,,,
977,little-dragon,"fresh, herbal",white,united states,,"citrusy, creamy, mellow, sweet",pasteurized goat's milk,zingerman's creamery,"ann arbor, michigan",,creamy,soft,no,,,,,
978,little-napoleon,"goaty, pungent",pale yellow,united states,,"acidic, savory",pasteurized goat's milk,zingerman's creamery,"ann arbor, michigan",mold ripened,firm,"hard, artisan",no,,,,,
979,little-qualicum-raclette,"pungent, stinky",ivory,canada,raclette,"meaty, strong",unpasteurized cow's milk,little qualicum cheeseworks,british columbia,washed,firm and supple,"semi-soft, artisan",,,,,,
980,little-rydings,"rich, sweet",white,england,,"mild, sweet",unpasteurized sheep's milk,wootton organic dairy,north wootton,mold ripened,"creamy, smooth and springy","soft, artisan",yes,,48%,,,
981,little-ypsi,buttery,ivory,united states,,buttery,pasteurized goat's milk,zingerman's creamery,"ann arbor, michigan",natural,buttery and firm,"semi-soft, artisan",no,,,,,
982,livarot,"pungent, strong",straw,france,,"citrusy, full-flavored, nutty, spicy",pasteurized or unpasteurized cow's milk,,"normandy, livarot",washed,"creamy, open, smooth and springy","soft, artisan, brined",no,the colonel,40%,,,
983,llanboidy,"grassy, sweet",white,wales,cheddar,"buttery, spicy",pasteurized cow's milk,llanboidy,carmarthenshire,natural,firm and smooth,"hard, artisan",no,,,,,
